databaze,schemat,tabulka,sloupec,poradi_ve_tabulce,datovy_typ,max_delka,ciselna_presnost,ciselna_mista,je_nullovatelny,vychozi_hodnota,je_identity
postgres,auth,audit_log_entries,instance_id,1,uuid,null,null,null,true,null,false
postgres,auth,audit_log_entries,id,2,uuid,null,null,null,false,null,false
postgres,auth,audit_log_entries,payload,3,json,null,null,null,true,null,false
postgres,auth,audit_log_entries,created_at,4,timestamp with time zone,null,null,null,true,null,false
postgres,auth,audit_log_entries,ip_address,5,character varying,64,null,null,false,''::character varying,false
postgres,auth,flow_state,id,1,uuid,null,null,null,false,null,false
postgres,auth,flow_state,user_id,2,uuid,null,null,null,true,null,false
postgres,auth,flow_state,auth_code,3,text,null,null,null,false,null,false
postgres,auth,flow_state,code_challenge_method,4,USER-DEFINED,null,null,null,false,null,false
postgres,auth,flow_state,code_challenge,5,text,null,null,null,false,null,false
postgres,auth,flow_state,provider_type,6,text,null,null,null,false,null,false
postgres,auth,flow_state,provider_access_token,7,text,null,null,null,true,null,false
postgres,auth,flow_state,provider_refresh_token,8,text,null,null,null,true,null,false
postgres,auth,flow_state,created_at,9,timestamp with time zone,null,null,null,true,null,false
postgres,auth,flow_state,updated_at,10,timestamp with time zone,null,null,null,true,null,false
postgres,auth,flow_state,authentication_method,11,text,null,null,null,false,null,false
postgres,auth,flow_state,auth_code_issued_at,12,timestamp with time zone,null,null,null,true,null,false
postgres,auth,identities,provider_id,1,text,null,null,null,false,null,false
postgres,auth,identities,user_id,2,uuid,null,null,null,false,null,false
postgres,auth,identities,identity_data,3,jsonb,null,null,null,false,null,false
postgres,auth,identities,provider,4,text,null,null,null,false,null,false
postgres,auth,identities,last_sign_in_at,5,timestamp with time zone,null,null,null,true,null,false
postgres,auth,identities,created_at,6,timestamp with time zone,null,null,null,true,null,false
postgres,auth,identities,updated_at,7,timestamp with time zone,null,null,null,true,null,false
postgres,auth,identities,email,8,text,null,null,null,true,null,false
postgres,auth,identities,id,9,uuid,null,null,null,false,gen_random_uuid(),false
postgres,auth,instances,id,1,uuid,null,null,null,false,null,false
postgres,auth,instances,uuid,2,uuid,null,null,null,true,null,false
postgres,auth,instances,raw_base_config,3,text,null,null,null,true,null,false
postgres,auth,instances,created_at,4,timestamp with time zone,null,null,null,true,null,false
postgres,auth,instances,updated_at,5,timestamp with time zone,null,null,null,true,null,false
postgres,auth,mfa_amr_claims,session_id,1,uuid,null,null,null,false,null,false
postgres,auth,mfa_amr_claims,created_at,2,timestamp with time zone,null,null,null,false,null,false
postgres,auth,mfa_amr_claims,updated_at,3,timestamp with time zone,null,null,null,false,null,false
postgres,auth,mfa_amr_claims,authentication_method,4,text,null,null,null,false,null,false
postgres,auth,mfa_amr_claims,id,5,uuid,null,null,null,false,null,false
postgres,auth,mfa_challenges,id,1,uuid,null,null,null,false,null,false
postgres,auth,mfa_challenges,factor_id,2,uuid,null,null,null,false,null,false
postgres,auth,mfa_challenges,created_at,3,timestamp with time zone,null,null,null,false,null,false
postgres,auth,mfa_challenges,verified_at,4,timestamp with time zone,null,null,null,true,null,false
postgres,auth,mfa_challenges,ip_address,5,inet,null,null,null,false,null,false
postgres,auth,mfa_challenges,otp_code,6,text,null,null,null,true,null,false
postgres,auth,mfa_challenges,web_authn_session_data,7,jsonb,null,null,null,true,null,false
postgres,auth,mfa_factors,id,1,uuid,null,null,null,false,null,false
postgres,auth,mfa_factors,user_id,2,uuid,null,null,null,false,null,false
postgres,auth,mfa_factors,friendly_name,3,text,null,null,null,true,null,false
postgres,auth,mfa_factors,factor_type,4,USER-DEFINED,null,null,null,false,null,false
postgres,auth,mfa_factors,status,5,USER-DEFINED,null,null,null,false,null,false
postgres,auth,mfa_factors,created_at,6,timestamp with time zone,null,null,null,false,null,false
postgres,auth,mfa_factors,updated_at,7,timestamp with time zone,null,null,null,false,null,false
postgres,auth,mfa_factors,secret,8,text,null,null,null,true,null,false
postgres,auth,mfa_factors,phone,9,text,null,null,null,true,null,false
